Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
Thor Motor Coach,2025,23,1,1,Low
"Kia America, Inc.",2025,39536,2,3,High
"Jaguar Land Rover North America, LLC",2025,3818,2,3,High
"BMW of North America, LLC",2025,145102,2,3,High
"BMW of North America, LLC",2025,4,1,1,Low
"Chrysler (FCA US, LLC)",2025,123396,2,3,High
"International Motors, LLC",2025,3,1,1,Low
"International Motors, LLC",2025,4778,2,3,High
"General Motors, LLC",2025,23700,2,3,High
"Volkswagen Group of America, Inc.",2025,1042,1,1,Low
"Volkswagen Group of America, Inc.",2025,1,1,1,Low
"BMW of North America, LLC",2025,196355,2,3,High
Blue Bird Body Company,2025,150,1,1,Low
"Porsche Cars North America, Inc.",2025,107,1,1,Low
Lamborghini (Automobili Lamborghini),2025,14,1,1,Low
Motor Coach Industries,2025,12,1,1,Low
"New Flyer of America, Inc.",2025,655,1,1,Low
Isuzu Motors Limited,2025,11385,2,3,High
"Altec Industries, Inc.",2025,15,1,1,Low
Ford Motor Company,2025,4632,2,3,High
"Brenner Tank, LLC",2025,8,1,1,Low
Ford Motor Company,2025,115539,2,3,High
Wabash National Corporation,2025,10,1,1,Low
Hyundai Motor America,2025,7855,2,3,High
Ford Motor Company,2025,212,1,1,Low
"Mack Trucks, Inc.",2025,156,1,1,Low
Volvo Trucks North America,2025,2307,2,3,High
Volvo Trucks North America,2025,3609,2,3,High
"General Motors, LLC",2025,12,1,1,Low
Reading Truck Group LLC,2025,10,1,1,Low
"BMW of North America, LLC",2025,1571,2,3,High
Hyundai Motor America,2025,8,1,1,Low
"Polestar Automotive USA, Inc.",2025,27816,2,3,High
"Yamaha Motor Corporation, USA",2025,922,1,1,Low
Orange EV,2025,1378,1,1,Low
Ford Motor Company,2025,101944,2,3,High
"Forest River, Inc.",2025,502,1,1,Low
"Daimler Vans USA, LLC",2025,4,1,1,Low
Hyundai Motor America,2025,31042,2,3,High
Hyundai Motor America,2025,568580,2,3,High
"Mack Trucks, Inc.",1978,161,0,2,Medium
"Daimler Trucks North America, LLC",2025,95,1,1,Low
"Daimler Trucks North America, LLC",2025,343,1,1,Low
"Daimler Trucks North America, LLC",2025,50,1,1,Low
"Daimler Trucks North America, LLC",2025,380,1,1,Low
"Corp. Micro Bird, Inc.",2025,2454,2,3,High
"Corp. Micro Bird, Inc.",2025,419,1,1,Low
"KTM North America, Inc.",2025,9070,2,3,High
Ford Motor Company,2025,9,1,1,Low
CHAMPION HOME BLDR. CO.,1974,12,0,2,Medium
Toyota Motor Engineering & Manufacturing,2025,591377,2,3,High
"General Motors, LLC",2025,1191,1,1,Low
"Chrysler (FCA US, LLC)",2025,163735,2,3,High
"Chrysler (FCA US, LLC)",2025,1761,2,3,High
"Aprilia USA, Inc.",2025,720,1,1,Low
Harley-Davidson Motor Company,2025,8422,2,3,High
"Volvo Car USA, LLC",2025,1357,1,1,Low
Storyteller Overland,2025,61,1,1,Low
Zero Motorcycles Inc.,2025,319,1,1,Low
Shyft Group,2006,254,1,1,Low
"Chrysler (FCA US, LLC)",2025,53849,2,3,High
"Rivian Automotive, LLC",2025,24214,2,3,High
"Spartan Fire, LLC",2025,1261,1,1,Low
Honda (American Honda Motor Co.),2025,7492,2,3,High
Honda (American Honda Motor Co.),2025,17334,2,3,High
"Altec Industries, Inc.",2025,19,1,1,Low
"International Motors, LLC",2025,457,1,1,Low
Cruiser RV,2025,10,1,1,Low
"Jayco, Inc.",2025,75,1,1,Low
"General Motors, LLC",1974,811,0,2,Medium
Toyota Motor Engineering & Manufacturing,2025,94320,2,3,High
"Chrysler (FCA US, LLC)",2025,91787,2,3,High
"Chrysler (FCA US, LLC)",2025,8,1,1,Low
"Chrysler (FCA US, LLC)",2025,75,1,1,Low
"Chrysler (FCA US, LLC)",2025,985,1,1,Low
Ford Motor Company,2025,1456417,2,3,High
Orange EV,2025,16,1,1,Low
"Foretravel, Inc.",2025,87,1,1,Low
Ducati North America,2025,10235,2,3,High
PACCAR Incorporated,2025,13908,2,3,High
Mazda North American Operations,2025,104854,2,3,High
Motor Coach Industries,2025,59,1,1,Low
"New Flyer of America, Inc.",2025,1170,1,1,Low
REV Recreation Group,2025,224,1,1,Low
Tuff Trailer USA Inc.,2025,6,1,1,Low
"Tiffin Motorhomes, Inc.",2025,20,1,1,Low
"Mack Trucks, Inc.",1974,1023,0,2,Medium
"Corp. Micro Bird, Inc.",2025,30,1,1,Low
"Altec Industries, Inc.",2025,1352,1,1,Low
"Kibbi, LLC",2025,69,1,1,Low
Fontaine Trailer Company,2025,35,1,1,Low
"VinFast Auto, LLC",2025,6314,2,3,High
Midwest Fire Equipment & Repair Company,2025,36,1,1,Low
Vermeer Manufacturing Company,2025,2,1,1,Low
"BMW of North America, LLC",2025,1406,2,3,High
"Polestar Automotive USA, Inc.",2025,68,1,1,Low
Nova Bus (US) Inc.,2025,24,1,1,Low
"Chrysler (FCA US, LLC)",2025,219577,2,3,High
"Forest River, Inc.",2025,7,1,1,Low
"Forest River, Inc.",2025,2379,2,3,High
Hyundai Motor America,2025,29,1,1,Low
"Kia America, Inc.",2025,30,1,1,Low
Keystone RV Company,2025,148,1,1,Low
"Rivian Automotive, LLC",2025,23,1,1,Low
"VULCAN TRLR. MFG. CO.,INC",1974,114,0,2,Medium
Ford Motor Company,2025,105545,2,3,High
Ford Motor Company,2025,499129,2,3,High
Ford Motor Company,2025,213121,2,3,High
"New Flyer of America, Inc.",2025,2354,2,3,High
Ford Motor Company,2025,100900,2,3,High
Ford Motor Company,2025,355656,2,3,High
"Forest River, Inc.",2025,209,1,1,Low
"Forest River, Inc.",2025,7,1,1,Low
